date,open,high,low,close,volume
2025-01-30,88.41,88.71,88.17,88.34,25094900.0
2025-01-31,88.38,88.66,87.43,87.76,48812500.0
2025-02-03,88.58,89.1,87.8,88.16,70657233.0
2025-02-04,87.55,88.45,87.48,88.43,33414000.0
2025-02-05,89.45,90.18,89.39,89.89,48331200.0
2025-02-06,89.86,90.15,89.55,89.85,22509940.0
2025-02-07,89.24,89.45,88.94,89.27,31171245.0
2025-02-10,89.26,89.53,88.85,89.0,22736100.0
2025-02-11,88.53,88.68,88.38,88.43,21513015.0
2025-02-12,87.29,87.6,86.86,87.23,48536211.0
2025-02-13,88.09,88.89,88.07,88.68,42718100.0
2025-02-14,89.38,89.68,89.12,89.15,27460743.0
2025-02-18,88.54,88.84,88.04,88.1,29429200.0
2025-02-19,87.95,88.45,87.89,88.21,20584304.0
2025-02-20,88.45,88.76,88.45,88.54,27913442.0
2025-02-21,88.87,89.93,88.82,89.61,46912348.0
2025-02-24,89.33,90.06,89.26,89.87,26218000.0
2025-02-25,90.97,91.5,90.8,91.42,50125100.0
2025-02-26,91.42,92.06,91.2,91.96,32220200.0
2025-02-27,91.31,91.79,91.14,91.31,53373600.0
2025-02-28,91.85,92.48,91.47,92.43,49388600.0
2025-03-03,91.41,92.71,91.37,92.57,42904200.0
2025-03-04,92.44,92.79,91.27,91.43,56722000.0
2025-03-05,91.56,91.8,90.61,90.7,50215938.0
2025-03-06,90.48,90.8,89.73,90.4,42827500.0
2025-03-07,91.14,91.16,89.99,90.11,36903632.0
2025-03-10,91.08,91.63,90.91,91.05,41440800.0
2025-03-11,90.97,91.49,90.14,90.4,40555700.0
2025-03-12,90.0,90.38,89.78,89.86,32734600.0
2025-03-13,89.58,90.71,89.38,90.65,38675413.0
2025-03-14,90.01,90.41,89.86,90.17,24658000.0
2025-03-17,90.8,91.18,90.38,90.62,26700300.0
2025-03-18,90.14,91.02,90.12,90.71,23654748.0
2025-03-19,90.68,91.22,90.38,91.18,31378713.0
2025-03-20,92.2,92.24,91.16,91.24,35645824.0
2025-03-21,91.33,91.44,90.62,90.7,29192100.0
2025-03-24,90.2,90.26,89.7,89.77,27985600.0
2025-03-25,89.57,90.08,89.51,89.76,22333833.0
2025-03-26,89.39,89.6,89.09,89.17,25165323.0
2025-03-27,88.85,89.03,88.63,88.91,23674536.0
2025-03-28,89.88,90.34,89.81,90.14,39869400.0
2025-03-31,91.23,91.34,90.36,91.03,38824321.0
2025-04-01,91.25,91.91,91.21,91.49,39800100.0
2025-04-02,92.37,92.37,90.66,91.43,43488407.0
2025-04-03,92.52,92.73,91.84,91.85,57467400.0
2025-04-04,93.65,94.09,92.82,92.85,92794210.0
2025-04-07,91.88,92.19,89.8,90.05,124987637.0
2025-04-08,89.28,90.2,88.22,88.35,73861900.0
2025-04-09,87.27,88.91,85.89,88.87,131353500.0
2025-04-10,87.74,88.18,86.35,86.42,78592000.0
2025-04-11,85.87,87.3,85.0,86.89,94814139.0
2025-04-14,87.4,87.71,86.82,87.51,37596400.0
2025-04-15,87.15,88.19,87.04,87.82,22553900.0
2025-04-16,87.8,88.5,87.47,88.31,35607337.0
2025-04-17,88.04,88.2,87.23,87.53,31758430.0
2025-04-21,86.6,87.07,85.98,86.0,39343217.0
2025-04-22,86.82,87.02,86.4,86.48,32552100.0
2025-04-23,88.88,89.06,87.17,87.32,44082200.0
2025-04-24,88.03,88.35,87.76,88.24,24190800.0
2025-04-25,88.9,89.11,88.6,88.89,22513925.0
2025-04-28,88.66,89.53,88.61,89.45,20130510.0
2025-04-29,89.32,90.21,89.3,90.2,22129500.0
2025-04-30,89.78,90.05,89.33,89.47,42630600.0
2025-05-01,89.26,89.28,88.3,88.69,29932841.0
2025-05-02,87.71,88.07,87.54,87.73,32090400.0
2025-05-05,87.35,87.41,86.83,87.24,22862807.0
2025-05-06,86.8,87.53,86.64,87.53,21095200.0
2025-05-07,87.92,88.21,87.82,87.9,23178423.0
2025-05-08,88.02,88.06,86.89,86.92,25483700.0
2025-05-09,87.0,87.31,86.92,87.05,17007900.0
2025-05-12,86.38,86.78,86.19,86.24,32115028.0
2025-05-13,86.13,86.29,85.5,85.89,53912200.0
2025-05-14,85.75,85.87,85.2,85.32,42119809.0
2025-05-15,85.63,86.32,85.48,86.07,59448000.0
2025-05-16,86.87,86.89,86.2,86.3,31778200.0
2025-05-19,84.91,86.12,84.83,86.05,49361900.0
2025-05-20,85.43,85.6,85.06,85.43,35493100.0
2025-05-21,84.68,85.06,83.76,83.97,77053100.0
2025-05-22,83.52,84.43,83.3,84.41,61747900.0
2025-05-23,84.77,84.82,84.31,84.55,47139246.0
2025-05-27,85.35,86.03,85.15,85.73,56773411.0
2025-05-28,85.41,85.54,84.97,85.36,34806800.0
2025-05-29,85.77,86.26,85.64,86.15,39003618.0
2025-05-30,86.09,86.47,85.88,86.28,49042100.0
2025-06-02,85.29,85.47,84.79,85.16,46213110.0
2025-06-03,85.44,85.74,84.89,85.01,33731300.0
2025-06-04,85.79,86.65,85.65,86.39,57441529.0
2025-06-05,86.68,86.93,86.22,86.45,37715300.0
2025-06-06,85.79,85.93,85.28,85.35,38130100.0
2025-06-09,85.04,85.64,85.04,85.44,26560800.0
2025-06-10,86.1,86.18,85.52,85.88,24857001.0
2025-06-11,85.81,86.4,85.71,86.14,36334820.0
2025-06-12,86.89,87.2,86.6,87.17,43017814.0
2025-06-13,86.73,86.88,85.78,86.33,49374000.0
2025-06-16,86.08,86.43,85.46,85.46,36496625.0
2025-06-17,86.0,86.66,85.75,86.5,34521600.0
2025-06-18,86.88,87.09,86.35,86.65,38589000.0
2025-06-20,86.14,86.79,85.95,86.49,26001907.0
2025-06-23,86.93,87.44,86.77,86.77,36851824.0
2025-06-24,86.47,87.59,86.43,87.4,32959113.0
2025-06-25,87.11,87.51,86.8,87.51,26345300.0
2025-06-26,87.59,87.95,87.2,87.95,30467517.0
2025-06-27,87.57,88.16,87.24,87.39,74993500.0
2025-06-30,87.86,88.44,87.61,88.25,53695200.0
2025-07-01,88.13,88.31,87.66,88.14,38960600.0
2025-07-02,87.19,87.59,87.1,87.58,39382249.0
2025-07-03,87.17,87.29,86.85,86.97,26729101.0
2025-07-07,86.54,86.56,85.92,86.14,38314700.0
2025-07-08,85.57,86.04,85.44,86.03,31407000.0
2025-07-09,86.19,86.93,86.18,86.93,29821900.0
2025-07-10,86.83,87.06,86.49,86.99,24525548.0
2025-07-11,86.23,86.27,85.64,85.79,40764800.0
2025-07-14,85.54,85.88,85.32,85.61,24609530.0
2025-07-15,85.89,85.91,84.9,85.01,40455000.0
2025-07-16,85.28,85.66,84.19,85.13,65987700.0
2025-07-17,85.22,85.49,84.99,85.11,31875500.0
2025-07-18,85.43,85.46,85.1,85.24,27534948.0
2025-07-21,86.22,86.51,85.96,86.0,40019530.0
2025-07-22,86.17,86.77,86.11,86.52,35190321.0
2025-07-23,86.05,86.2,85.79,86.04,31008500.0
2025-07-24,85.55,86.24,85.51,85.89,25164800.0
2025-07-25,85.8,86.44,85.72,86.43,27196200.0
2025-07-28,85.99,86.2,85.83,85.87,26812500.0
2025-07-29,86.23,87.34,86.2,87.32,47828300.0
2025-07-30,86.77,86.96,86.56,86.87,40670900.0
2025-07-31,87.13,87.41,86.84,86.92,49814100.0
2025-08-01,87.56,87.93,87.52,87.82,63434525.0
2025-08-04,87.96,88.15,87.65,88.06,36425200.0
2025-08-05,87.85,88.45,87.78,88.33,28586109.0
2025-08-06,87.84,88.05,86.92,87.82,42589347.0
2025-08-07,87.92,88.25,87.59,87.67,29213145.0
2025-08-08,87.36,87.39,87.15,87.29,21596334.0
2025-08-11,87.54,87.67,87.28,87.39,20100909.0
2025-08-12,86.9,86.97,86.55,86.95,41087211.0
2025-08-13,87.44,87.81,87.43,87.67,30817500.0
2025-08-14,87.51,87.51,86.89,87.02,33397435.0
2025-08-15,86.66,86.78,86.25,86.4,36343600.0
2025-08-18,86.5,86.54,85.99,86.15,26777514.0
2025-08-19,86.45,86.75,86.45,86.65,28780625.0
2025-08-20,86.59,86.97,86.56,86.84,25912500.0
2025-08-21,86.56,86.68,86.11,86.41,28643900.0
2025-08-22,86.83,87.3,86.72,87.05,49871900.0
2025-08-25,86.73,87.05,86.65,86.8,27011924.0
2025-08-26,86.51,86.79,86.22,86.75,30259346.0
2025-08-27,86.11,86.66,86.0,86.65,38142800.0
2025-08-28,86.78,87.26,86.66,87.22,32205937.0
2025-08-29,86.76,86.86,86.44,86.6,41686429.0
2025-09-02,85.63,85.84,85.48,85.63,48760602.0
2025-09-03,85.93,86.81,85.89,86.57,52499540.0
2025-09-04,87.02,87.24,86.58,87.23,40501600.0
2025-09-05,88.22,88.61,88.14,88.56,69668000.0
2025-09-08,89.17,89.76,89.12,89.74,54538700.0
2025-09-09,89.4,89.55,88.99,89.23,37126428.0
2025-09-10,89.4,90.07,89.19,89.74,40713600.0
2025-09-11,89.91,90.48,89.9,90.34,46694400.0
