date,open,high,low,close,volume
2022-06-21,171.06,171.91,170.47,170.63,5608485.0
2022-06-22,171.61,172.3,171.1,171.31,6558656.0
2022-06-23,171.39,172.13,169.9,170.26,6535261.0
2022-06-24,170.24,170.7401,169.85,170.09,6143081.0
2022-06-27,170.595,170.67,169.75,169.9,5719684.0
2022-06-28,170.0699,170.21,169.51,169.62,2984450.0
2022-06-29,170.58,170.7,169.17,169.49,4785576.0
2022-06-30,169.51,169.96,168.24,168.46,9144391.0
2022-07-01,167.135,168.68,166.96,168.32,11380332.0
2022-07-05,167.18,167.33,164.41,164.75,14035426.0
2022-07-06,164.32,164.57,161.47,162.14,11861144.0
2022-07-07,162.43,163.04,162.06,162.23,4588418.0
2022-07-08,162.35,163.38,161.84,162.3,4584112.0
2022-07-11,161.93,162.435,161.3757,161.43,4321663.0
2022-07-12,161.22,161.62,160.72,160.83,5375081.0
2022-07-13,160.1,162.705,160.06,161.6,8456636.0
2022-07-14,159.02,159.83,158.22,159.33,12213614.0
2022-07-15,159.01,159.25,158.35,159.01,6753785.0
2022-07-18,160.08,160.43,159.05,159.16,5791779.0
2022-07-19,159.47,159.87,159.33,159.54,3796198.0
2022-07-20,159.71,159.815,158.025,158.04,4795846.0
2022-07-21,158.31,160.31,158.2699,160.27,5863333.0
2022-07-22,160.55,162.13,160.35,160.67,5733753.0
2022-07-25,160.64,160.7,159.81,160.23,3713368.0
2022-07-26,160.23,160.5,159.79,160.04,2672764.0
2022-07-27,160.02,162.21,159.51,161.67,5709082.0
2022-07-28,163.31,163.76,162.88,163.64,5606353.0
2022-07-29,163.89,164.69,163.28,164.1,7537307.0
2022-08-01,164.98,165.41,164.41,165.03,4666912.0
2022-08-02,165.66,166.46,164.02,164.05,5725388.0
2022-08-03,164.77,164.91,163.475,164.45,4417759.0
2022-08-04,165.53,167.31,165.34,167.17,5502000.0
2022-08-05,164.99,165.84,164.87,165.29,5860541.0
2022-08-08,166.03,166.8103,165.93,166.69,3356514.0
2022-08-09,167.48,167.8,166.82,167.2,3205505.0
2022-08-10,167.3925,167.98,166.6201,166.78,4037274.0
2022-08-11,167.16,167.66,166.31,166.34,4445977.0
2022-08-12,167.17,167.94,166.83,167.87,5045078.0
2022-08-15,165.99,166.25,165.44,165.71,5236292.0
2022-08-16,165.31,165.72,165.18,165.42,4277529.0
2022-08-17,165.21,165.228,163.95,164.35,5569071.0
2022-08-18,164.6,164.9125,163.545,163.92,3646087.0
2022-08-19,163.65,163.74,162.615,162.72,8172954.0
2022-08-22,161.66,162.12,161.36,161.64,4458113.0
2022-08-23,161.96,163.43,161.91,162.77,4425075.0
2022-08-24,162.44,163.61,162.37,163.25,3202411.0
2022-08-25,163.97,163.985,163.24,163.75,2857488.0
2022-08-26,163.12,163.61,161.55,161.76,6573759.0
2022-08-29,161.88,162.62,161.7,161.86,4702256.0
2022-08-30,161.27,161.43,160.34,160.51,4856576.0
2022-08-31,159.5,160.575,159.255,159.27,5438641.0
2022-09-01,158.17,158.39,157.32,157.87,7390755.0
2022-09-02,159.3499,160.06,159.14,159.26,5095508.0
2022-09-06,159.17,159.46,158.32,158.33,4863819.0
2022-09-07,158.15,160.15,158.08,159.94,3981410.0
2022-09-08,159.54,159.86,158.7115,158.98,4607118.0
2022-09-09,159.72,160.24,159.41,159.82,3927788.0
2022-09-12,161.04,161.62,160.55,160.63,4537530.0
2022-09-13,158.47,159.2675,158.39,158.54,6526388.0
2022-09-14,158.68,158.98,157.73,157.93,6091085.0
2022-09-15,156.76,157.485,154.62,154.98,13181203.0
2022-09-16,154.66,156.56,154.34,155.84,6988210.0
2022-09-19,154.87,156.04,154.815,155.96,5582767.0
2022-09-20,155.03,155.23,154.59,155.07,5943724.0
2022-09-21,155.97,157.25,154.01,155.79,7816071.0
2022-09-22,156.26,156.48,155.31,155.7,5975237.0
2022-09-23,153.9,154.0,152.64,153.01,9597991.0
2022-09-26,153.22,153.51,151.0301,151.23,8240501.0
2022-09-27,152.25,152.73,151.5,151.54,7076310.0
2022-09-28,153.2,154.88,152.93,154.69,8977243.0
2022-09-29,154.14,155.03,153.16,154.66,6317021.0
2022-09-30,154.94,156.045,154.57,154.67,6832430.0
2022-10-03,155.438,158.48,155.23,158.43,10362232.0
2022-10-04,159.18,161.08,158.92,160.7,8024496.0
2022-10-05,159.32,160.08,158.38,159.81,5296309.0
2022-10-06,159.41,159.94,158.9511,159.63,5698877.0
2022-10-07,158.46,158.98,157.68,157.88,5030041.0
2022-10-10,155.94,156.35,155.12,155.48,6110794.0
2022-10-11,155.49,156.81,154.92,155.16,5140673.0
2022-10-12,155.51,156.29,155.26,155.99,3998472.0
2022-10-13,153.48,155.73,152.92,154.91,7083767.0
2022-10-14,154.02,154.1996,152.72,152.98,5474648.0
2022-10-17,154.92,155.33,153.325,153.42,4348044.0
2022-10-18,154.08,154.2393,153.24,153.75,4528441.0
2022-10-19,152.09,152.49,151.54,151.69,8257060.0
2022-10-20,151.92,153.23,151.27,151.45,5019849.0
2022-10-21,151.98,154.31,151.83,154.15,6898351.0
2022-10-24,153.45,154.06,153.06,153.65,4673274.0
2022-10-25,153.9599,154.79,153.83,154.0,3434053.0
2022-10-26,154.78,155.73,154.78,154.98,4451056.0
2022-10-27,154.7148,155.09,154.22,154.74,3654871.0
2022-10-28,152.96,153.54,152.5,153.16,4645440.0
2022-10-31,152.16,152.8721,151.89,151.91,6097760.0
2022-11-01,153.82,153.98,152.87,153.46,4603597.0
2022-11-02,154.16,155.42,152.26,152.39,7214403.0
2022-11-03,150.699,151.955,150.5703,151.81,5300810.0
2022-11-04,154.95,156.6,154.66,156.47,7691954.0
2022-11-07,156.22,156.569,155.81,155.85,4425710.0
2022-11-08,155.99,159.87,155.975,159.45,11299635.0
2022-11-09,159.359,160.35,158.45,158.65,6039205.0
2022-11-10,162.01,163.51,161.655,163.48,9939858.0
2022-11-11,163.914,164.58,163.42,164.56,4622422.0
2022-11-14,164.2,165.24,164.15,164.92,6187552.0
2022-11-15,165.27,166.23,164.56,165.5,9903495.0
2022-11-16,165.41,165.71,164.8301,165.12,3645845.0
2022-11-17,163.79,164.1099,163.4,163.92,4578129.0
2022-11-18,163.38,163.69,162.68,162.79,4321075.0
2022-11-21,162.44,162.5,161.28,161.88,4766512.0
2022-11-22,162.3,162.6,161.72,162.07,3203837.0
